payment_id,customer_id,amount,currency,payment_method,failure_reason,timestamp,previous_attempts,previous_recovery_attempts,time_since_failure_minutes,customer_success_rate,customer_lifetime_value,customer_previous_payments,status,true_recovery_probability,recovered,amount_recovered
pay_100013,cust_01013,3827.7,INR,netbanking,authentication_failure,2026-09-04T05:35:27.472735+00:00,1,0,183.4,0.922,209183.96,32,RECOVERED,0.8844,True,3827.7
pay_100014,cust_01014,2668.09,INR,netbanking,authentication_failure,2026-09-03T14:53:44.195873+00:00,2,1,1065.1,0.771,41582.94,8,RECOVERED,0.6061,True,2668.09
pay_100015,cust_01015,2142.31,INR,upi,authentication_failure,2026-09-01T23:29:51.105764+00:00,3,0,3429.0,0.838,286924.68,43,RECOVERED,0.6302,True,2142.31
pay_100016,cust_01016,6517.95,INR,upi,network_failure,2026-09-04T00:26:11.525287+00:00,1,0,492.7,0.439,48654.08,19,RECOVERED,0.8147,True,6517.95
pay_100017,cust_01017,4156.06,INR,netbanking,network_failure,2026-09-02T03:06:30.169331+00:00,1,0,3212.4,0.751,116753.1,21,RECOVERED,0.7577,True,4156.06
pay_100018,cust_01018,1139.51,INR,upi,temporary_bank_error,2026-09-02T15:45:21.559161+00:00,1,0,2453.5,0.897,69601.56,43,FAILED,0.8449,False,0.0
pay_100019,cust_01019,2006.39,INR,upi,network_failure,2026-09-04T05:35:00.861713+00:00,1,1,183.9,0.364,0.0,1,RECOVERED,0.6749,True,2006.39
pay_100020,cust_01020,1756.31,INR,card,3ds_timeout,2026-09-03T21:48:01.850832+00:00,1,0,650.8,0.683,15006.46,11,FAILED,0.7706,False,0.0
pay_100021,cust_01021,430.52,INR,upi,network_failure,2026-09-03T10:04:33.932610+00:00,3,0,1354.3,0.862,54813.36,9,RECOVERED,0.7736,True,430.52
pay_100022,cust_01022,1713.19,INR,upi,authentication_failure,2026-08-31T02:47:27.652245+00:00,3,0,6111.4,0.722,11704.7,7,RECOVERED,0.5444,True,1713.19
pay_100023,cust_01023,4985.35,INR,upi,payment_method_issue,2026-09-03T21:38:36.077687+00:00,3,0,660.3,0.635,40503.3,24,RECOVERED,0.468,True,4985.35
pay_100024,cust_01024,3195.46,INR,upi,insufficient_funds,2026-09-03T23:21:52.038170+00:00,1,0,557.0,0.802,9239.2,26,RECOVERED,0.6339,True,3195.46
pay_100025,cust_01025,2164.02,INR,card,network_failure,2026-09-03T15:25:29.165038+00:00,3,0,1033.4,0.913,14439.95,8,RECOVERED,0.7324,True,2164.02
pay_100026,cust_01026,854.19,INR,card,temporary_bank_error,2026-09-01T14:23:58.741685+00:00,1,0,3974.9,0.814,56538.98,36,RECOVERED,0.7523,True,854.19
pay_100027,cust_01027,1067.84,INR,wallet,insufficient_funds,2026-09-04T01:29:16.962770+00:00,1,0,429.6,0.93,49452.48,31,FAILED,0.5466,False,0.0
pay_100028,cust_01028,2396.99,INR,card,network_failure,2026-09-04T06:18:08.909006+00:00,1,1,140.7,0.857,32909.46,8,FAILED,0.8347,False,0.0
pay_100029,cust_01029,2459.97,INR,upi,temporary_bank_error,2026-09-03T01:34:50.634415+00:00,2,0,1864.0,0.437,5293.83,8,FAILED,0.706,False,0.0
pay_100030,cust_01030,2441.56,INR,card,network_failure,2026-09-04T04:25:00.627394+00:00,2,1,253.9,0.807,25984.77,9,FAILED,0.6988,False,0.0
pay_100031,cust_01031,2526.17,INR,upi,network_failure,2026-09-03T13:33:04.153637+00:00,1,1,1145.8,0.334,0.0,2,FAILED,0.622,False,0.0
pay_100032,cust_01032,770.44,INR,card,network_failure,2026-09-03T23:12:02.391412+00:00,1,0,566.8,0.949,10973.97,8,RECOVERED,0.95,True,770.44
pay_100033,cust_01033,4318.66,INR,card,authentication_failure,2026-09-04T06:17:14.397434+00:00,1,0,141.6,0.91,194270.76,40,RECOVERED,0.8845,True,4318.66
pay_100034,cust_01034,980.82,INR,emi,temporary_bank_error,2026-09-02T03:13:21.277291+00:00,1,1,3205.5,0.763,22311.73,39,FAILED,0.5466,False,0.0
pay_100035,cust_01035,2019.09,INR,card,authentication_failure,2026-09-04T03:26:05.080587+00:00,1,0,312.8,0.961,54440.28,38,RECOVERED,0.9347,True,2019.09
pay_100036,cust_01036,848.34,INR,wallet,customer_abandonment,2026-09-01T21:31:25.193511+00:00,1,2,3547.5,0.905,61363.26,20,FAILED,0.0866,False,0.0
pay_100037,cust_01037,2917.81,INR,emi,insufficient_funds,2026-09-04T00:16:38.195253+00:00,2,0,502.2,0.769,172594.08,47,FAILED,0.3507,False,0.0
pay_100038,cust_01038,1397.99,INR,upi,authentication_failure,2026-09-01T14:37:00.691665+00:00,3,1,3961.9,0.507,16737.75,10,RECOVERED,0.452,True,1397.99
pay_100039,cust_01039,985.27,INR,card,account_blocked,2026-09-04T05:01:32.908857+00:00,1,0,217.3,0.893,286917.84,41,FAILED,0.1428,False,0.0
pay_100040,cust_01040,2660.4,INR,card,3ds_timeout,2026-09-03T21:57:21.909167+00:00,1,1,641.5,0.965,56563.04,9,RECOVERED,0.723,True,2660.4
pay_100041,cust_01041,3017.03,INR,netbanking,insufficient_funds,2026-09-03T15:27:41.991872+00:00,1,0,1031.2,0.639,102383.71,21,FAILED,0.4242,False,0.0
pay_100042,cust_01042,3154.9,INR,card,payment_method_issue,2026-09-02T03:40:19.699187+00:00,3,0,3178.5,0.903,25700.29,13,FAILED,0.4599,False,0.0
pay_100043,cust_01043,1076.79,INR,card,network_failure,2026-09-03T17:36:33.607220+00:00,1,0,902.3,0.889,129367.92,50,RECOVERED,0.894,True,1076.79
pay_100044,cust_01044,3459.95,INR,upi,network_failure,2026-09-02T15:08:36.489215+00:00,1,1,2490.3,0.338,0.0,2,RECOVERED,0.5559,True,3459.95
pay_100045,cust_01045,2103.64,INR,netbanking,network_failure,2026-09-03T09:14:33.472491+00:00,1,0,1404.3,0.617,9265.08,10,RECOVERED,0.729,True,2103.64
pay_100046,cust_01046,2072.39,INR,card,3ds_timeout,2026-09-03T01:34:07.854907+00:00,1,0,1864.7,0.767,268629.25,49,FAILED,0.7168,False,0.0
pay_100047,cust_01047,395.4,INR,netbanking,temporary_bank_error,2026-09-03T18:46:34.679081+00:00,1,0,832.3,0.849,13367.95,7,RECOVERED,0.824,True,395.4
pay_100048,cust_01048,2992.88,INR,upi,network_failure,2026-09-04T04:33:54.015471+00:00,1,0,245.0,0.627,50455.2,13,RECOVERED,0.9336,True,2992.88
pay_100049,cust_01049,8203.89,INR,card,temporary_bank_error,2026-09-01T06:17:36.305268+00:00,1,0,4461.3,0.732,35434.5,7,FAILED,0.7125,False,0.0
pay_100050,cust_01050,10913.16,INR,upi,network_failure,2026-09-03T22:05:15.226769+00:00,2,0,633.6,0.694,14126.4,9,RECOVERED,0.8671,True,10913.16
pay_100051,cust_01051,2849.95,INR,card,network_failure,2026-09-03T16:24:41.295298+00:00,1,0,974.2,0.938,92763.47,34,RECOVERED,0.9444,True,2849.95
pay_100052,cust_01052,1632.63,INR,upi,3ds_timeout,2026-09-03T08:27:11.351629+00:00,1,0,1451.7,0.826,54215.35,9,RECOVERED,0.7708,True,1632.63
pay_100053,cust_01053,6329.77,INR,card,insufficient_funds,2026-09-03T06:50:54.627929+00:00,3,0,1548.0,0.976,108294.3,39,FAILED,0.3242,False,0.0
pay_100054,cust_01054,2343.14,INR,upi,authentication_failure,2026-09-01T13:02:01.576198+00:00,2,0,4056.8,0.976,6808.2,7,RECOVERED,0.7038,True,2343.14
pay_100055,cust_01055,7106.84,INR,card,authentication_failure,2026-09-01T12:31:58.262108+00:00,1,1,4086.9,0.574,57809.52,14,FAILED,0.4882,False,0.0
pay_100056,cust_01056,2501.87,INR,upi,temporary_bank_error,2026-09-02T11:55:23.797679+00:00,1,1,2683.5,0.963,206785.6,39,RECOVERED,0.7184,True,2501.87
pay_100057,cust_01057,1247.02,INR,upi,3ds_timeout,2026-09-03T08:51:15.558699+00:00,3,2,1427.6,0.363,8151.45,10,RECOVERED,0.3046,True,1247.02
pay_100058,cust_01058,3828.73,INR,upi,network_failure,2026-09-02T23:19:03.894928+00:00,2,0,1999.8,0.844,141712.5,30,RECOVERED,0.8455,True,3828.73
pay_100059,cust_01059,1965.06,INR,upi,payment_method_issue,2026-09-03T22:38:46.658375+00:00,1,1,600.1,0.529,94270.8,25,RECOVERED,0.4328,True,1965.06
pay_100060,cust_01060,1678.83,INR,netbanking,payment_method_issue,2026-09-04T06:02:08.885918+00:00,1,0,156.7,0.75,32612.97,23,FAILED,0.5952,False,0.0
pay_100061,cust_01061,5678.16,INR,upi,insufficient_funds,2026-09-03T20:48:58.245112+00:00,2,2,709.9,0.852,63540.6,18,FAILED,0.2103,False,0.0
pay_100062,cust_01062,2589.79,INR,wallet,authentication_failure,2026-09-03T08:39:58.968597+00:00,1,0,1438.9,0.896,23438.84,26,RECOVERED,0.8331,True,2589.79
pay_100063,cust_01063,893.54,INR,card,payment_method_issue,2026-09-02T19:00:40.363581+00:00,2,0,2258.2,0.45,2185.29,3,RECOVERED,0.3427,True,893.54
pay_100064,cust_01064,1978.71,INR,upi,authentication_failure,2026-09-03T18:39:59.671784+00:00,1,0,838.9,0.895,87468.9,17,FAILED,0.8532,False,0.0
pay_100065,cust_01065,1032.36,INR,upi,payment_method_issue,2026-09-03T09:32:17.396813+00:00,2,0,1386.6,0.908,56644.56,11,RECOVERED,0.5666,True,1032.36
pay_100066,cust_01066,2430.79,INR,upi,insufficient_funds,2026-09-03T03:14:52.468873+00:00,1,0,1764.0,0.878,38147.6,12,RECOVERED,0.5237,True,2430.79
pay_100067,cust_01067,627.37,INR,netbanking,customer_abandonment,2026-08-31T02:11:50.379161+00:00,2,0,6147.0,0.969,155540.02,33,FAILED,0.1394,False,0.0
pay_100068,cust_01068,1124.67,INR,netbanking,authentication_failure,2026-09-03T19:23:56.785517+00:00,3,1,794.9,0.653,41420.94,17,RECOVERED,0.4333,True,1124.67
pay_100069,cust_01069,1968.03,INR,upi,authentication_failure,2026-09-04T07:15:25.530299+00:00,1,0,83.4,0.577,25706.28,22,RECOVERED,0.7804,True,1968.03
pay_100070,cust_01070,2586.79,INR,card,authentication_failure,2026-09-01T02:03:16.621477+00:00,3,1,4715.6,0.824,29454.4,39,FAILED,0.4179,False,0.0
pay_100071,cust_01071,3470.71,INR,upi,customer_abandonment,2026-09-04T08:21:15.866750+00:00,2,0,17.6,0.422,17086.74,15,RECOVERED,0.1504,True,3470.71
pay_100072,cust_01072,2390.54,INR,upi,authentication_failure,2026-08-31T21:02:31.548426+00:00,1,0,5016.3,0.532,75846.8,20,RECOVERED,0.6488,True,2390.54
pay_100073,cust_01073,6379.95,INR,card,3ds_timeout,2026-09-03T11:34:48.293083+00:00,1,0,1264.1,0.967,140340.48,24,FAILED,0.8534,False,0.0
pay_100074,cust_01074,11520.03,INR,upi,network_failure,2026-09-03T17:41:40.184606+00:00,3,1,897.2,0.566,18279.7,10,RECOVERED,0.5376,True,11520.03
pay_100075,cust_01075,1088.65,INR,emi,account_blocked,2026-09-03T03:53:57.008146+00:00,1,0,1724.9,0.537,20315.67,7,FAILED,0.01,False,0.0
pay_100076,cust_01076,4274.14,INR,card,network_failure,2026-09-01T22:36:31.233194+00:00,1,0,3482.4,0.251,0.0,1,FAILED,0.6224,False,0.0
pay_100077,cust_01077,694.93,INR,wallet,insufficient_funds,2026-09-04T07:32:14.465643+00:00,2,0,66.6,0.837,57017.7,18,RECOVERED,0.5329,True,694.93
pay_100078,cust_01078,5133.55,INR,emi,network_failure,2026-09-03T11:00:23.482692+00:00,1,0,1298.5,0.683,40372.86,10,RECOVERED,0.7551,True,5133.55
pay_100079,cust_01079,1823.24,INR,upi,temporary_bank_error,2026-09-04T07:15:18.917867+00:00,2,0,83.6,0.169,0.0,2,FAILED,0.6979,False,0.0
pay_100080,cust_01080,2006.6,INR,netbanking,customer_abandonment,2026-09-02T11:10:24.145472+00:00,1,0,2728.5,0.755,21368.0,14,FAILED,0.2304,False,0.0
pay_100081,cust_01081,850.57,INR,wallet,3ds_timeout,2026-09-04T02:25:02.685667+00:00,1,0,373.8,0.208,6205.12,5,FAILED,0.6371,False,0.0
pay_100082,cust_01082,585.64,INR,upi,3ds_timeout,2026-09-03T15:01:02.106893+00:00,1,1,1057.8,0.456,5661.8,11,FAILED,0.6399,False,0.0
pay_100083,cust_01083,5132.96,INR,card,authentication_failure,2026-09-02T06:25:18.100768+00:00,1,1,3013.6,0.726,75493.2,14,RECOVERED,0.5991,True,5132.96
pay_100084,cust_01084,3348.61,INR,card,network_failure,2026-09-04T05:07:45.123117+00:00,1,1,211.1,0.91,143792.46,24,RECOVERED,0.8506,True,3348.61
pay_100085,cust_01085,4659.85,INR,upi,temporary_bank_error,2026-09-02T00:21:59.131957+00:00,2,0,3376.9,0.518,37755.97,15,RECOVERED,0.5933,True,4659.85
pay_100086,cust_01086,6646.77,INR,upi,3ds_timeout,2026-09-02T09:03:09.095929+00:00,1,0,2855.7,0.847,33379.5,36,FAILED,0.7777,False,0.0
pay_100087,cust_01087,511.47,INR,card,account_blocked,2026-09-03T16:21:50.799857+00:00,3,0,977.0,0.919,99944.46,46,FAILED,0.01,False,0.0
pay_100088,cust_01088,703.75,INR,upi,network_failure,2026-09-04T05:21:34.055704+00:00,1,2,197.3,0.918,55635.0,22,RECOVERED,0.7364,True,703.75
pay_100089,cust_01089,2679.21,INR,upi,temporary_bank_error,2026-09-02T02:08:40.283132+00:00,2,0,3270.2,0.483,32814.88,16,RECOVERED,0.6155,True,2679.21
pay_100090,cust_01090,908.16,INR,upi,network_failure,2026-09-04T04:12:24.357016+00:00,1,0,266.5,0.462,9096.45,8,RECOVERED,0.8695,True,908.16
pay_100091,cust_01091,1834.22,INR,upi,temporary_bank_error,2026-09-03T15:50:51.999584+00:00,1,1,1008.0,0.494,0.0,2,FAILED,0.6209,False,0.0
pay_100092,cust_01092,1141.64,INR,netbanking,customer_abandonment,2026-09-04T07:08:07.275242+00:00,1,0,90.8,0.924,178466.4,49,FAILED,0.3146,False,0.0
pay_100093,cust_01093,3266.04,INR,upi,network_failure,2026-09-03T21:32:27.814037+00:00,2,0,666.4,0.843,42524.64,20,RECOVERED,0.8988,True,3266.04
pay_100094,cust_01094,594.58,INR,card,payment_method_issue,2026-09-04T07:45:03.424462+00:00,1,0,53.8,0.848,93953.97,40,RECOVERED,0.6776,True,594.58
pay_100095,cust_01095,3169.24,INR,card,authentication_failure,2026-09-04T05:55:38.027893+00:00,1,1,163.2,0.916,26852.54,25,RECOVERED,0.7424,True,3169.24
pay_100096,cust_01096,552.72,INR,upi,temporary_bank_error,2026-09-04T08:09:40.656374+00:00,2,0,29.2,0.92,117586.0,22,RECOVERED,0.8831,True,552.72
pay_100097,cust_01097,1191.23,INR,upi,insufficient_funds,2026-09-03T11:02:17.990024+00:00,1,1,1296.6,0.501,10090.2,13,FAILED,0.2723,False,0.0
pay_100098,cust_01098,1985.49,INR,upi,authentication_failure,2026-09-03T11:26:01.495343+00:00,1,0,1272.8,0.974,96879.1,40,RECOVERED,0.95,True,1985.49
pay_100099,cust_01099,871.49,INR,upi,temporary_bank_error,2026-09-03T07:43:49.841099+00:00,2,0,1495.0,0.595,39861.0,17,RECOVERED,0.7252,True,871.49
pay_100100,cust_01100,652.72,INR,upi,network_failure,2026-09-04T01:52:21.135755+00:00,3,0,406.5,0.212,0.0,2,RECOVERED,0.6357,True,652.72
pay_100101,cust_01101,1244.0,INR,upi,insufficient_funds,2026-09-04T06:38:26.321975+00:00,1,2,120.4,0.937,21029.58,24,FAILED,0.2852,False,0.0
pay_100102,cust_01102,2480.87,INR,upi,temporary_bank_error,2026-08-31T20:54:37.692562+00:00,1,0,5024.2,0.669,37637.04,9,FAILED,0.7035,False,0.0
pay_100103,cust_01103,1259.64,INR,upi,3ds_timeout,2026-09-01T17:02:19.175338+00:00,3,0,3816.6,0.737,37427.6,11,RECOVERED,0.6036,True,1259.64
pay_100104,cust_01104,525.57,INR,netbanking,network_failure,2026-09-03T23:15:42.460489+00:00,3,0,563.2,0.49,1509.34,4,RECOVERED,0.6245,True,525.57
pay_100105,cust_01105,543.47,INR,upi,3ds_timeout,2026-09-04T00:28:27.772510+00:00,3,1,490.4,0.854,141059.88,43,FAILED,0.5669,False,0.0
pay_100106,cust_01106,1895.31,INR,card,network_failure,2026-09-03T22:47:55.304384+00:00,1,0,591.0,0.554,25168.32,23,RECOVERED,0.7693,True,1895.31
pay_100107,cust_01107,4469.51,INR,upi,3ds_timeout,2026-09-02T22:22:27.525891+00:00,1,1,2056.4,0.717,11837.8,15,RECOVERED,0.6172,True,4469.51
pay_100108,cust_01108,276.63,INR,upi,customer_abandonment,2026-09-02T14:01:59.996596+00:00,1,1,2556.9,0.424,12806.48,7,RECOVERED,0.0677,True,276.63
pay_100109,cust_01109,2688.98,INR,wallet,network_failure,2026-09-04T06:59:47.236113+00:00,2,1,99.1,0.858,113759.0,24,FAILED,0.7005,False,0.0
pay_100110,cust_01110,5085.89,INR,upi,payment_method_issue,2026-09-04T03:14:36.915150+00:00,1,0,324.3,0.888,166765.48,32,RECOVERED,0.6876,True,5085.89
pay_100111,cust_01111,2739.58,INR,card,authentication_failure,2026-09-03T21:58:50.982438+00:00,1,1,640.0,0.905,178371.45,41,FAILED,0.6965,False,0.0
pay_100112,cust_01112,5223.75,INR,upi,temporary_bank_error,2026-09-03T17:44:24.131968+00:00,1,0,894.5,0.926,54920.04,16,RECOVERED,0.9081,True,5223.75
pay_100113,cust_01113,2027.86,INR,upi,insufficient_funds,2026-09-03T21:01:26.185003+00:00,1,1,697.4,0.198,7761.73,8,FAILED,0.298,False,0.0
pay_100114,cust_01114,2412.68,INR,upi,customer_abandonment,2026-09-03T08:56:02.600883+00:00,1,0,1422.8,0.774,31234.39,15,FAILED,0.3614,False,0.0
pay_100115,cust_01115,2619.65,INR,card,authentication_failure,2026-09-02T02:48:31.039785+00:00,1,0,3230.4,0.587,8802.54,16,FAILED,0.6621,False,0.0
pay_100116,cust_01116,1383.69,INR,upi,payment_method_issue,2026-09-04T07:49:45.556099+00:00,1,0,49.1,0.68,5363.98,2,RECOVERED,0.5889,True,1383.69
pay_100117,cust_01117,2931.25,INR,upi,insufficient_funds,2026-09-04T05:50:02.575870+00:00,1,0,168.8,0.833,148353.85,36,FAILED,0.5793,False,0.0
pay_100118,cust_01118,1610.18,INR,netbanking,network_failure,2026-09-04T02:23:54.490404+00:00,1,2,375.0,0.816,157258.92,49,FAILED,0.5474,False,0.0
pay_100119,cust_01119,4006.55,INR,card,authentication_failure,2026-09-04T01:41:09.215927+00:00,1,1,417.7,0.506,4552.34,2,RECOVERED,0.655,True,4006.55
pay_100120,cust_01120,481.56,INR,card,customer_abandonment,2026-09-04T04:39:09.478412+00:00,3,0,239.7,0.27,0.0,3,FAILED,0.0504,False,0.0
pay_100121,cust_01121,14137.72,INR,upi,insufficient_funds,2026-09-01T16:05:17.437973+00:00,2,0,3873.6,0.733,22903.56,9,FAILED,0.3936,False,0.0
pay_100122,cust_01122,2936.01,INR,card,network_failure,2026-09-03T12:02:20.581796+00:00,2,0,1236.5,0.952,19416.88,9,RECOVERED,0.8412,True,2936.01
pay_100123,cust_01123,7147.72,INR,wallet,customer_abandonment,2026-09-03T18:15:47.372342+00:00,1,1,863.1,0.496,33742.8,11,FAILED,0.0757,False,0.0
pay_100124,cust_01124,2089.29,INR,card,temporary_bank_error,2026-09-04T07:17:46.559448+00:00,1,2,81.1,0.861,100094.72,26,RECOVERED,0.65,True,2089.29
pay_100125,cust_01125,889.19,INR,card,insufficient_funds,2026-09-03T22:26:37.145162+00:00,2,1,612.3,0.733,28217.04,9,FAILED,0.1988,False,0.0
pay_100126,cust_01126,1527.48,INR,upi,authentication_failure,2026-09-04T05:00:15.206288+00:00,1,0,218.6,0.859,78547.44,29,RECOVERED,0.95,True,1527.48
pay_100127,cust_01127,231.02,INR,wallet,temporary_bank_error,2026-09-03T11:47:39.281584+00:00,3,0,1251.2,0.886,63281.43,11,RECOVERED,0.7162,True,231.02
pay_100128,cust_01128,1611.45,INR,upi,account_blocked,2026-09-03T15:54:24.398350+00:00,3,0,1004.5,0.783,279672.12,46,FAILED,0.01,False,0.0
pay_100129,cust_01129,2020.59,INR,upi,insufficient_funds,2026-09-04T03:08:15.972790+00:00,1,2,330.6,0.535,13717.18,4,FAILED,0.1969,False,0.0
pay_100130,cust_01130,1946.52,INR,card,network_failure,2026-09-02T20:47:30.623456+00:00,2,0,2151.4,0.658,6917.04,19,RECOVERED,0.7003,True,1946.52
pay_100131,cust_01131,239.66,INR,upi,authentication_failure,2026-09-04T04:35:56.507759+00:00,1,0,242.9,0.304,15666.4,7,RECOVERED,0.7773,True,239.66
pay_100132,cust_01132,648.06,INR,card,temporary_bank_error,2026-09-04T08:01:50.745092+00:00,2,0,37.0,0.066,0.0,1,RECOVERED,0.5379,True,648.06
pay_100133,cust_01133,4224.02,INR,upi,network_failure,2026-09-04T02:20:29.847122+00:00,1,0,378.4,0.88,22524.18,16,RECOVERED,0.95,True,4224.02
pay_100134,cust_01134,1313.41,INR,card,network_failure,2026-09-04T06:08:02.908650+00:00,3,0,150.8,0.569,15422.11,20,RECOVERED,0.6961,True,1313.41
pay_100135,cust_01135,3528.99,INR,netbanking,temporary_bank_error,2026-09-03T06:10:43.893889+00:00,1,0,1588.1,0.752,180982.75,34,RECOVERED,0.7809,True,3528.99
pay_100136,cust_01136,3211.46,INR,upi,network_failure,2026-09-04T03:03:16.903330+00:00,3,0,335.6,0.386,5219.83,5,RECOVERED,0.6546,True,3211.46
pay_100137,cust_01137,2593.87,INR,upi,insufficient_funds,2026-09-02T15:49:52.321522+00:00,1,0,2449.0,0.468,41224.08,14,FAILED,0.3705,False,0.0
pay_100138,cust_01138,1137.43,INR,card,temporary_bank_error,2026-09-03T09:09:44.669528+00:00,1,1,1409.1,0.818,102931.2,49,RECOVERED,0.6411,True,1137.43
pay_100139,cust_01139,377.83,INR,upi,customer_abandonment,2026-09-02T22:02:01.658421+00:00,1,0,2076.8,0.665,7311.75,3,FAILED,0.3554,False,0.0
pay_100140,cust_01140,1938.93,INR,netbanking,payment_method_issue,2026-09-03T19:21:27.875639+00:00,3,1,797.4,0.52,19404.22,22,FAILED,0.2228,False,0.0
pay_100141,cust_01141,2556.11,INR,card,temporary_bank_error,2026-09-04T05:02:46.017756+00:00,1,0,216.1,0.707,9053.25,22,FAILED,0.7671,False,0.0
pay_100142,cust_01142,2027.88,INR,upi,temporary_bank_error,2026-09-04T08:12:08.700471+00:00,1,0,26.7,0.431,11262.96,11,FAILED,0.8223,False,0.0
pay_100143,cust_01143,2337.12,INR,upi,authentication_failure,2026-09-03T07:21:16.469567+00:00,1,1,1517.6,0.698,39488.04,13,FAILED,0.6393,False,0.0
pay_100144,cust_01144,2452.4,INR,card,3ds_timeout,2026-09-04T04:01:12.624269+00:00,1,0,277.7,0.371,6048.51,5,FAILED,0.7127,False,0.0
pay_100145,cust_01145,458.2,INR,card,network_failure,2026-09-04T04:16:59.596227+00:00,3,1,261.9,0.098,0.0,4,RECOVERED,0.3446,True,458.2
pay_100146,cust_01146,2320.21,INR,upi,temporary_bank_error,2026-09-04T00:28:20.098158+00:00,1,1,490.5,0.841,75337.37,21,RECOVERED,0.7473,True,2320.21
pay_100147,cust_01147,915.35,INR,card,authentication_failure,2026-09-03T06:29:45.311788+00:00,3,0,1569.1,0.939,29490.76,28,FAILED,0.7163,False,0.0
pay_100148,cust_01148,1005.57,INR,upi,temporary_bank_error,2026-09-03T10:57:01.607221+00:00,1,2,1301.8,0.591,24054.36,21,RECOVERED,0.574,True,1005.57
pay_100149,cust_01149,15491.82,INR,upi,payment_method_issue,2026-09-04T05:56:33.533307+00:00,1,0,162.3,0.44,7586.21,3,RECOVERED,0.5446,True,15491.82
pay_100150,cust_01150,1943.04,INR,card,temporary_bank_error,2026-09-04T01:51:30.211218+00:00,2,1,407.4,0.874,94826.5,29,FAILED,0.731,False,0.0
pay_100151,cust_01151,3314.05,INR,upi,authentication_failure,2026-09-03T21:54:01.665653+00:00,2,0,644.8,0.623,50405.2,17,RECOVERED,0.7754,True,3314.05
pay_100152,cust_01152,1882.68,INR,upi,authentication_failure,2026-09-02T07:07:56.996517+00:00,1,2,2970.9,0.852,117078.49,20,FAILED,0.5737,False,0.0
pay_100153,cust_01153,3127.01,INR,card,insufficient_funds,2026-09-04T01:45:14.953400+00:00,2,0,413.6,0.269,0.0,1,FAILED,0.3088,False,0.0
pay_100154,cust_01154,2817.75,INR,upi,authentication_failure,2026-09-01T21:20:49.688723+00:00,1,2,3558.0,0.618,93329.04,21,FAILED,0.4841,False,0.0
pay_100155,cust_01155,841.47,INR,wallet,account_blocked,2026-09-01T11:21:20.641484+00:00,1,1,4157.5,0.318,828.3,4,FAILED,0.01,False,0.0
pay_100156,cust_01156,2043.98,INR,upi,insufficient_funds,2026-09-04T07:44:34.321232+00:00,1,0,54.3,0.479,12745.12,6,RECOVERED,0.4639,True,2043.98
pay_100157,cust_01157,1411.49,INR,upi,3ds_timeout,2026-09-03T22:40:48.280014+00:00,3,0,598.1,0.234,0.0,3,FAILED,0.5055,False,0.0
pay_100158,cust_01158,1720.73,INR,card,payment_method_issue,2026-09-03T23:26:09.569495+00:00,1,2,552.7,0.481,2107.55,12,FAILED,0.212,False,0.0
